CustomerId;City;SalesOrg;Country;Currency
1000;Denver;UW00;US;USD
2000;New York City;UE00;US;USD
3000;Philadelphia;UE00;US;USD
4000;Atlanta;UE00;US;USD
5000;Boston;UE00;US;USD
6000;Chicago;UE00;US;USD
7000;Grand Rapids;UE00;US;USD
8000;Detroit;UE00;US;USD
9000;Irvine;UW00;US;USD
10000;Palo Alto;UW00;US;USD
11000;Washington DC;UE00;US;USD
12000;Seattle;UW00;US;USD
13000;Frankfurt;DS00;DE;EUR
14000;Hamburg;DN00;DE;EUR
15000;MŸnchen;DS00;DE;EUR
16000;Berlin;DN00;DE;EUR
17000;Hannover;DN00;DE;EUR
18000;Leipzig;DN00;DE;EUR
19000;Bochum;DN00;DE;EUR
20000;Heidelberg;DS00;DE;EUR
21000;Anklam;DN00;DE;EUR
22000;Stuttgart;DS00;DE;EUR
23000;Hamburg;DN00;DE;EUR
24000;Magdeburg;DN00;DE;EUR
